# z motor right,1
Heat Set Insert M3,3
ISO4762 Screw M3x35,2
ISO4762 Screw M3x40,1
ISO4762 Screw M3x70,2
ISO4762 Screw M3x8,1
ISO7090 Washer M6,12
ISO7380-1 Screw M3x12,1
ISO7380-1 Screw M5x10,2
ISO7380-1 Screw M6x14,2
ISO7380-1 Screw M6x16,4
,
# z motor left,2
Type,Qty
Heat Set Insert M3,3
ISO4762 Screw M3x35,2
ISO4762 Screw M3x40,1
ISO4762 Screw M3x70,2
ISO4762 Screw M3x8,1
ISO7090 Washer M6,12
ISO7380-1 Screw M3x12,1
ISO7380-1 Screw M5x10,2
ISO7380-1 Screw M6x14,2
ISO7380-1 Screw M6x16,4
,
# z idler,1.5
Type,Qty
Heat Set Insert M3,4
ISO4762 Screw M3x12,4
ISO4762 Screw M3x45,2
ISO7092 Washer M3,8
ISO7380-1 Screw M5x25,2
ISO7380-1 Screw M6x35,4
,
# z block mount ,1.5
Type,Qty
Heat Set Insert M3,11
ISO4762 Screw M3x10,4
ISO4762 Screw M3x14,4
ISO4762 Screw M3x16,4
ISO4762 Screw M3x25,2
ISO4762 Screw M3x5,4
ISO7092 Washer M3,24
ISO7380-1 Screw M3x12,2
,
# y carrier right,1
Type,Qty
Heat Set Insert M5,4
ISO4762 Screw M3x10,7
ISO4762 Screw M3x12,2
ISO7092 Washer M3,16
ISO7380-1 Screw M5x50,4
,
# y carrier left,1
Type,Qty
Heat Set Insert M5,4
ISO4762 Screw M3x10,7
ISO4762 Screw M3x12,2
ISO7092 Washer M3,13
ISO7380-1 Screw M5x50,4
,
# toolhead sherpa cable mount,1
Type,Qty
Heat Set Insert M3,25
ISO4032 Nut M3,8
ISO4762 Screw M2.5x12,2
ISO4762 Screw M2x10,2
ISO4762 Screw M3x10,6
ISO4762 Screw M3x12,4
ISO4762 Screw M3x20,2
ISO4762 Screw M3x25,5
ISO4762 Screw M3x35,2
ISO4762 Screw M3x40,2
ISO4762 Screw M3x6,2
ISO4762 Screw M3x8,5
ISO4762 Screw M4x12,3
ISO7092 Washer M3,4
ISO7380-1 Screw M3x12,2
ISO7380-1 Screw M3x16,2
ISO7380-1 Screw M3x35,2
ISO7380-1 Screw M3x8,3
ISO7380-1 Screw M6x10,1
,
# spool holer,1
Type,Qty
Heat Set Insert M3,8
ISO7380-1 Screw M3x10,4
ISO7380-1 Screw M3x30,4
ISO7380-1 Screw M3x6,4
,
# panels,1
Type,Qty
Heat Set Insert M3,16
ISO4026 Screw M3x8,3
ISO4762 Screw M3x16,2
ISO4762 Screw M3x40,2
ISO4762 Screw M3x6,4
ISO4762 Screw M3x8,32
ISO7092 Washer M3,12
ISO7380-1 Screw M3x6,12
ISO7380-1 Screw M6x10,16
ISO7380-1 Screw M6x12,4
ISO7380-1 Screw M6x16,34
ISO7380-1 Screw M8x12,4
,
,
,
,
# front idlers,1
Type,Qty
Heat Set Insert M3,2
ISO4762 Screw M3x25,1
ISO4762 Screw M3x35,1
ISO7090 Washer M6,12
ISO7092 Washer M5,4
ISO7380-1 Screw M5x40,1
ISO7380-1 Screw M5x45,1
ISO7380-1 Screw M6x14,2
ISO7380-1 Screw M6x20,4
,
# frame,1
Type,Qty
ISO4762 Screw M6x14,56
ISO7090 Washer M6,112
ISO7380-1 Screw M6x12,3
ISO7380-1 Screw M8x20,26
,
# foot,4
Type,Qty
ISO7380-1 Screw M10x25,1
,
# endstops,1
Type,Qty
Heat Set Insert M3,2
ISO4762 Screw M3x16,3
ISO4762 Screw M3x8,1
,
# bottom panel,1
Type,Qty
Heat Set Insert M3,40
ISO4032 Nut M4,2
ISO4762 Screw M3x10,2
ISO4762 Screw M3x12,1
ISO4762 Screw M3x16,14
ISO7092 Washer M3,4
ISO7380-1 Screw M3x10,13
ISO7380-1 Screw M3x6,14
ISO7380-1 Screw M4x25,2
ISO7380-1 Screw M4x6,4
ISO7380-1 Screw M6x12,2
ISO7380-1 Screw M6x14,1
ISO7380-1 Screw M6x25,1
ISO7380-1 Screw M6x25,1
,
# bed,1
Type,Qty
Heat Set Insert M3,10
Heat Set Insert M4,6
ISO4026 Screw M3x8,2
ISO4026 Screw M4x12,3
ISO4762 Screw M3x10,19
ISO4762 Screw M3x14,12
ISO4762 Screw M3x8,2
ISO7092 Washer M3,30
ISO7093-1 Washer M3,35
ISO7380-1 Screw M3x16,3
ISO7380-1 Screw M3x6,13
ISO7380-1 Screw M3x16,3
ISO7380-1 Screw M3x6,13
,
# air filter,1
Type,Qty
Heat Set Insert M3,4
ISO4762 Screw M2x6,8
ISO7380-1 Screw M3x6,4
ISO7380-1 Screw M6x12,2
,
# addons,1
Type,Qty
Heat Set Insert M3,7
ISO7090 Washer M6,2
ISO7380-1 Screw M3x6,9
ISO7380-1 Screw M6x12,1
,
# y motor,1
Type,Qty
Heat Set Insert M3,4
ISO4032 Nut M5,2
ISO4762 Screw M3x40,4
ISO7090 Washer M5,4
ISO7090 Washer M6,10
ISO7380-1 Screw M5x40,2
ISO7380-1 Screw M6x14,4
ISO7380-1 Screw M6x16,1
,
# x motor,1
Type,Qty
Heat Set Insert M3,4
ISO4032 Nut M5,2
ISO4762 Screw M3x40,4
ISO7090 Washer M5,4
ISO7090 Washer M6,10
ISO7380-1 Screw M5x40,2
ISO7380-1 Screw M6x14,4
ISO7380-1 Screw M6x16,1
,
,
# linear rail,1
ISO4762 Screw M3x10,50
Spring washer M3,60
ISO4762 Screw M3x8,10
Square nut M3 for 1515 frame (hex nut also works),30
,
,
# frame nut,1
M6 T-nut,0
M5 T-nut,10
M4 T-nut,0
M3 T-nut,50
Spring washer M3,70
HCJ_Joint,22
